Search keyword
7 April 2025 - 30 April 2025
Search keyword,Search keyword status,Search keyword status reasons,Search keyword match type,Campaign,Ad group,Currency code,Keyword max CPC,Clicks,Impr.,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
advanced digital marketing course,Not eligible,low quality; campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,5,0.00%,0,0.00,25.00%,100.00%,0.00,0,0,0
best course of digital marketing,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0
best digital marketing classes,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,13,0.00%,0,0.00,0.00%,50.00%,0.00,0,0,0
best digital marketing courses,Not eligible,low quality; campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,1,76,1.32%,98.12,98.12,15.79%,47.37%,0.00,0,0,0.00%
best online digital marketing courses,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0
best online marketing courses,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,1,1,100.00%,48.10,48.10,0.00%,100.00%,0.00,0,0,0.00%
class digital marketing,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0
courses on digital marketing online,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0
digital marketing classes,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,3,56,5.36%,186.70,560.10,17.78%,60.00%,0.00,0,0,0.00%
digital marketing classes online,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,1,0.00%,0,0.00,0.00%,0.00%,0.00,0,0,0
digital marketing course,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,28,889,3.15%,103.86,2908.21,18.15%,59.81%,0.00,0,0,0.00%
digital marketing course online,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,2,95,2.11%,120.50,240.99,20.00%,66.00%,0.00,0,0,0.00%
digital marketing training,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,2,26,7.69%,120.37,240.74,26.67%,86.67%,0.00,0,0,0.00%
internet marketing course,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,4,85,4.71%,71.11,284.45,23.21%,69.64%,0.00,0,0,0.00%
learn digital marketing,Not eligible,low quality; campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,3,118,2.54%,171.60,514.81,23.33%,80.00%,0.00,0,0,0.00%
marketing digital course online,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,1,30,3.33%,69.89,69.89,52.00%,80.00%,0.00,0,0,0.00%
online marketing classes,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,1,46,2.17%,57.29,57.29,10.53%,60.53%,0.00,0,0,0.00%
online marketing courses,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,1,22,4.55%,129.85,129.85,14.29%,64.29%,0.00,0,0,0.00%
online marketing online course,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,4,0.00%,0,0.00,0.00%,75.00%,0.00,0,0,0
study digital marketing online,Not eligible,campaign paused,Exact match,Digital Marketing - Tier 1,digital marketing course,INR,0.01,0,0,0,0,0.00,0,0,0.00,0,0,0
